Year,Comedy,Drama,Variety,Lead Comedy Actor,Lead Drama Actor,Lead Comedy Actress,Lead Drama Actress,Column9
2002,"Friends

(NBC)","The West Wing

(NBC)","Late Show with David Letterman

(CBS)","Ray Romano

Everybody Loves Raymond

(CBS)","Michael Chiklis

The Shield

(FX)","Jennifer Aniston

Friends

(NBC)","Allison Janney

The West Wing

(NBC)",
2003,"Everybody Loves Raymond

(CBS)","The West Wing

(NBC)","The Daily Show with Jon Stewart

(Comedy Central)","Tony Shalhoub

Monk

(USA)","James Gandolfini

The Sopranos

(HBO)","Debra Messing

Will & Grace

(NBC)","Edie Falco

The Sopranos

(HBO)",
2004,"Arrested Development

(Fox)","The Sopranos

(HBO)","The Daily Show with Jon Stewart

(Comedy Central)","Kelsey Grammer

Frasier

(NBC)","James Spader

The Practice

(ABC)","Sarah Jessica Parker

Sex and the City

(HBO)","Allison Janney

The West Wing

(NBC)",
2005,"Everybody Loves Raymond

(CBS)","Lost

(ABC)","The Daily Show with Jon Stewart

(Comedy Central)","Tony Shalhoub

Monk

(USA)","James Spader

Boston Legal

(ABC)","Felicity Huffman

Desperate Housewives

(ABC)","Patricia Arquette

Medium

(NBC)",
2006,"The Office

(NBC)","24

(Fox)","The Daily Show with Jon Stewart

(Comedy Central)","Tony Shalhoub

Monk

(USA)","Kiefer Sutherland

24

(Fox)","Julia Louis-Dreyfus

The New Adventures of Old Christine

(CBS)","Mariska Hargitay

Law & Order: Special Victims Unit

(NBC)",
2007,"30 Rock

(NBC)","The Sopranos

(HBO)","The Daily Show with Jon Stewart

(Comedy Central)","Ricky Gervais

Extras

(BBC / HBO)","James Spader

Boston Legal

(ABC)","America Ferrera

Ugly Betty

(ABC)","Sally Field

Brothers & Sisters

(ABC)",
2008,"30 Rock

(NBC)","Mad Men

(AMC)","The Daily Show with Jon Stewart

(Comedy Central)","Alec Baldwin

30 Rock

(NBC)","Bryan Cranston

Breaking Bad

(AMC)","Tina Fey

30 Rock

(NBC)","Glenn Close

Damages

(FX)",
2009,"30 Rock

(NBC)","Mad Men

(AMC)","The Daily Show with Jon Stewart

(Comedy Central)","Alec Baldwin

30 Rock

(NBC)","Bryan Cranston

Breaking Bad

(AMC)","Toni Collette

United States of Tara

(Showtime)","Glenn Close

Damages

(FX)",
2010,"Modern Family

(ABC)","Mad Men

(AMC)","The Daily Show with Jon Stewart

(Comedy Central)","Jim Parsons

The Big Bang Theory

(CBS)","Bryan Cranston

Breaking Bad

(AMC)","Edie Falco

Nurse Jackie

(Showtime)","Kyra Sedgwick

The Closer

(TNT)",
2011,"Modern Family

(ABC)","Mad Men

(AMC)","The Daily Show with Jon Stewart

(Comedy Central)","Jim Parsons

The Big Bang Theory

(CBS)","Kyle Chandler

Friday Night Lights

(The 101 Network / NBC)","Melissa McCarthy

Mike & Molly

(CBS)","Julianna Margulies

The Good Wife

(CBS)",
2012,"Modern Family

(ABC)","Homeland

(Showtime)","The Daily Show with Jon Stewart

(Comedy Central)","Jon Cryer

Two and a Half Men

(CBS)","Damian Lewis

Homeland

(Showtime)","Julia Louis-Dreyfus

Veep

(HBO)","Claire Danes

Homeland

(Showtime)",
2013,"Modern Family

(ABC)","Breaking Bad

(AMC)","The Colbert Report

(Comedy Central)","Jim Parsons

The Big Bang Theory

(CBS)","Jeff Daniels

The Newsroom

(HBO)","Julia Louis-Dreyfus

Veep

(HBO)","Claire Danes

Homeland

(Showtime)",
2014,"Modern Family

(ABC)","Breaking Bad

(AMC)","The Colbert Report

(Comedy Central)","Jim Parsons

The Big Bang Theory

(CBS)","Bryan Cranston

Breaking Bad

(AMC)","Julia Louis-Dreyfus

Veep

(HBO)","Julianna Margulies

The Good Wife

(CBS)",
2015,"Veep

(HBO)","Game of Thrones

(HBO)","The Daily Show with Jon Stewart

(Comedy Central)","Jeffrey Tambor

Transparent

(Amazon Video)","Jon Hamm

Mad Men

(AMC)","Julia Louis-Dreyfus

Veep

(HBO)","Viola Davis

How to Get Away with Murder

(ABC)",
2016,"Veep

(HBO)","Game of Thrones

(HBO)","Last Week Tonight with John Oliver

(HBO)","Jeffrey Tambor

Transparent

(Amazon Video)","Rami Malek

Mr. Robot

(USA)","Julia Louis-Dreyfus

Veep

(HBO)","Tatiana Maslany

Orphan Black

(BBC America)",
2017,"Veep

(HBO)","The Handmaid's Tale

(Hulu)","Last Week Tonight with John Oliver

(HBO)","Donald Glover

Atlanta

(FX)","Sterling K. Brown

This Is Us

(NBC)","Julia Louis-Dreyfus

Veep

(HBO)","Elisabeth Moss

The Handmaid's Tale

(Hulu)",
